NAME,ADDRESS,CITY,STATE,ZIP,ZIPP4,COUNTY,Geo Point,X,Y
BOONE DRUG AND HEALTHCARE,345 DEERFIELD ROAD,BOONE,NC,28607,5009,WATAUGA,"36.19913176002267, -81.65279647018092",-81.652796,36.199132
WAL-MART SUPERCENTER - 1558,304 EAST ARBOR LANE,EDEN,NC,27288,5396,ROCKINGHAM,"36.48835159594937, -79.73400575046496",-79.734006,36.488352
KERR DRUG,533 NORTH MAIN STREET,TROUTMAN,NC,28166,8526,IREDELL,"35.71062034025647, -80.89544316766799",-80.895443,35.71062
OAKBORO PHARMACY,218 ALONZO ROAD,OAKBORO,NC,28129,,STANLY,"35.22331416671539, -80.32097267974534",-80.320973,35.223314
CVS - 7325,204 WEST MAIN STREET,PILOT MOUNTAIN,NC,27041,9301,SURRY,"36.38579223442405, -80.46976738195907",-80.469767,36.385792
WALGREENS - 11201,1209 NORTH BRIDGE STREET,ELKIN,NC,28621,2301,SURRY,"36.264142700325344, -80.85179584650106",-80.851796,36.264143
CVS - 3511,2221 CLOVERDALE AVENUE,WINSTON SALEM,NC,27103,2301,FORSYTH,"36.09166225930578, -80.27533929217456",-80.275339,36.091662
BI-LO - 219,427 NORTH GENERALS BOULEVARD,LINCOLNTON,NC,28092,3559,LINCOLN,"35.48977354930985, -81.24719360829833",-81.247194,35.489773
MEDICAL PARK PHARMACY EAST,1513 LIVE OAK STREET,BEAUFORT,NC,28516,1518,CARTERET,"34.7253809140979, -76.64682794325493",-76.646828,34.725381
TARGET,9801 SAM FURR ROAD,HUNTERSVILLE,NC,28078,8219,MECKLENBURG,"35.44326180288986, -80.86129776398059",-80.861298,35.443262
RITE AID - 11310,260 NC HIGHWAY 801 NORTH,ADVANCE,NC,27006,7944,DAVIE,"36.00938644372939, -80.44379929510136",-80.443799,36.009386
RITE AID - 4757,107 ARGUS LANE,MOORESVILLE,NC,28117,,IREDELL,"35.60153396821805, -80.89491261892216",-80.894913,35.601534
EASTOVER DRUG,3591 DUNN ROAD,EASTOVER,NC,28312,8794,CUMBERLAND,"35.093201067874965, -78.78672386241628",-78.786724,35.093201
SUN VALLEY PHARMACY,4833 OLD CHARLOTTE HIGHWAY,MONROE,NC,28110,6356,UNION,"35.042455891526174, -80.63792835131231",-80.637928,35.042456
MCCARTHY SQUARE PHARMACY,609 MCCARTHY BOULEVARD,NEW BERN,NC,28562,5232,CRAVEN,"35.10540674852261, -77.09781252372895",-77.097813,35.105407
KERR DRUG,286 MAIN STREET,ANDREWS,NC,28901,9250,CHEROKEE,"35.20108888734227, -83.83641620594308",-83.836416,35.201089
CHARLEYS DRUGS AND SUNDRIES,125 WEST CENTRAL AVENUE,MOUNT HOLLY,NC,28120,1616,GASTON,"35.29771422073468, -81.01734024285791",-81.01734,35.297714
