"County","TotalAgeMale","TotalAgeFemale","TotalWorkMale","TotalWorkFemale","TotalPovertyMale","TotalPovertyFemale","TotalInsuredMale","TotalUninsuredMale","TotalInsuredFemale","TotalUninsuredFemale","Population","Prescriptions","Patients","GEOID","Prescriptions_Per_Population","HighPrescription"
"Alamance",80687,88498,51493,55912,9976,13695,70637,9521,79873,8173,169185,226779,41947,37001,1.34042025002217,"1"
"Alexander",18568,17923,11990,10814,1821,2235,15703,1797,16206,1624,36491,75903,10852,37003,2.08004713490998,"1"
"Alleghany",5372,5538,3190,3096,1070,1251,4368,948,5081,419,10910,19712,3517,37005,1.80678276810266,"1"
"Anson",11299,11089,7483,6734,1622,2200,8874,1374,9741,899,22388,31384,6032,37007,1.40182240485975,"1"
"Ashe",13095,13503,7927,7830,1745,1930,11283,1732,12070,1285,26598,51945,7784,37009,1.95296638845026,"1"
"Avery",9806,7941,6873,4826,907,1040,6051,1530,6916,920,17747,30059,5045,37011,1.69375105651659,"1"
"Beaufort",21421,23477,12520,13765,3485,4805,18315,2932,20784,2534,44898,101202,14725,37013,2.254042496325,"1"
"Bertie",9201,8904,6136,5078,1713,2322,6707,1284,8145,674,18105,28595,5243,37015,1.57939795636564,"1"
"Bladen",14429,15676,8602,9442,3024,4276,12457,1804,14158,1378,30105,55845,8490,37017,1.85500747384155,"1"
"Brunswick",64555,69234,34845,38720,5849,7727,57150,6811,63847,5050,133789,254585,43603,37019,1.90288439258833,"1"
"Buncombe",128615,138366,82739,87213,13538,14859,110492,16465,123214,13372,266981,403213,66629,37021,1.51026852098089,"1"
"Burke",44127,43702,28877,26858,7445,8045,37089,5379,38526,4759,87829,157641,23493,37023,1.79486274465154,"1"
"Cabarrus",108453,112747,70078,72649,8716,11878,97281,10433,103862,8167,221200,319733,53696,37025,1.44544755877034,"1"
"Caldwell",39996,40709,25144,24925,4779,5879,34509,4910,36344,4135,80705,173671,25461,37027,2.1519236726349,"1"
"Camden",5320,5033,3266,3309,378,268,4953,331,4747,286,10353,12495,2274,37029,1.20689655172414,"1"
"Carteret",33553,34391,20086,20439,2569,3924,28538,3955,30983,3052,67944,138575,20785,37031,2.03954727422583,"1"
"Caswell",11615,11170,7595,6512,1849,1849,9622,1121,10218,838,22785,19237,2921,37033,0.844283519859557,"0"
"Catawba",78651,81201,50144,50443,9038,11080,68518,9175,71378,9328,159852,317150,50130,37035,1.98402272101694,"1"
"Chatham",35817,39253,21174,22548,3499,4311,31603,3976,35744,3211,75070,65482,11516,37037,0.872279206074331,"0"
"Cherokee",14011,14504,7871,7978,2305,2452,11277,2617,12482,1822,28515,63492,9144,37039,2.22661756970016,"1"
"Chowan",6553,7243,3664,4064,1205,1770,6016,455,6538,571,13796,19055,3841,37041,1.38119744853581,"1"
"Clay",5277,5720,2964,3119,672,877,4355,901,4986,712,10997,24490,3754,37043,2.22697099208875,"1"
"Cleveland",47714,51184,29865,31695,7226,10568,41681,5901,45695,5353,98898,207993,31361,37045,2.10310623066189,"1"
"Columbus",25644,25830,16457,15398,4651,5594,19364,3901,22385,3195,51474,117222,17197,37047,2.2773050472083,"1"
"Craven",50915,50490,32247,29697,5966,7632,39421,5329,45601,4205,101405,182139,29056,37049,1.79615403579705,"1"
"Cumberland",165964,167618,110704,107722,24416,32733,121552,16456,147479,15711,333582,440375,76318,37051,1.32014017542913,"1"
"Currituck",13778,13797,8849,8656,949,1325,11565,1919,12169,1543,27575,24285,4200,37053,0.880689029918404,"0"
"Dare",18460,18258,11301,11319,1428,1055,15689,2604,16680,1534,36718,58897,10451,37055,1.60403616754725,"1"
"Davidson",82445,85557,52243,53110,10268,13843,71160,10369,76375,8597,168002,254950,39751,37057,1.51754145783979,"1"
