,,STUSAB,Geo Point,Geo Shape,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,COUNTYFP NOZERO
,1,NC,"36.0437098766, -79.3994248175","{""coordinates"":[[[-79.539412,36.045738],[-79.539412,36.045757],[-79.539412,36.045809],[-79.539411,36.045871],[-79.539409,36.046084],[-79.539407,36.04636],[-79.539405,36.046635],[-79.539403,36.04691],[",37,1,1008531,37001,Alamance,Alamance County,6,H1,G4020,268,15500,,A,"1,096,718,106","27,958,505",36.0439535,-79.4005733,1
,2,NC,"35.9210263138, -81.1770268506","{""coordinates"":[[[-81.334209,35.875225],[-81.334153,35.875447],[-81.334053,35.87577],[-81.333962,35.876089],[-81.333871,35.876408],[-81.33377,35.876919],[-81.333737,35.877086],[-81.333689,35.87737],[-",37,3,1008532,37003,Alexander,Alexander County,6.00,H1,G4020,,25860,,A,"673,358,168","9,445,988",35.9209506,-81.1774668,3
,3,NC,"36.4912704378, -81.1278593427","{""coordinates"":[[[-81.327172,36.513253],[-81.327229,36.513413],[-81.327324,36.513707],[-81.327418,36.514001],[-81.32747,36.514385],[-81.327521,36.51477],[-81.327618,36.515259],[-81.327708,36.515542],[",37,5,1008533,37005,Alleghany,Alleghany County,6,H1,G4020,,,,A,"607,139,719","3,676,325",36.4893563,-81.1322987,5
,4,NC,"34.9737894417, -80.102712026","{""coordinates"":[[[-80.307024,34.934104],[-80.306788,34.936136],[-80.306748,34.936468],[-80.306536,34.938322],[-80.306375,34.939738],[-80.305394,34.948247],[-80.304827,34.953175],[-80.304512,34.955912]",37,7,1008534,37007,Anson,Anson County,6,H1,G4020,172,16740,,A,"1,376,478,136","14,603,213",34.9749722,-80.1097633,7
,5,NC,"36.434424701, -81.5005211955","{""coordinates"":[[[-81.677382,36.581444],[-81.677674,36.581575],[-81.677892,36.581691],[-81.678055,36.581812],[-81.678225,36.581916],[-81.678328,36.582026],[-81.678386,36.582102],[-81.678444,36.582207]",37,9,1008535,37009,Ashe,Ashe County,6,H1,G4020,,,,A,"1,100,930,108","8,064,800",36.4434687,-81.4993343,9
,6,NC,"36.0766050343, -81.9226013745","{""coordinates"":[[[-82.016572,36.145136],[-82.016446,36.145318],[-82.016276,36.145562],[-82.016107,36.145805],[-82.015938,36.146048],[-82.015768,36.146291],[-82.015599,36.146534],[-82.01543,36.146778],",37,11,1008536,37011,Avery,Avery County,6,H1,G4020,,,,A,"640,602,134","445,285",36.07209,-81.9202847,11
,7,NC,"35.486983815, -76.8453144055","{""coordinates"":[[[-77.084643,35.552601],[-77.084641,35.552661],[-77.084698,35.552726],[-77.08472,35.55275],[-77.085249,35.553055],[-77.085555,35.553186],[-77.08586,35.553317],[-77.086341,35.553418],[-",37,13,1026333,37013,Beaufort,Beaufort County,6,H1,G4020,272,47820,,A,"2,155,109,574","338,655,073",35.4823128,-76.8420144,13
,8,NC,"36.0656302022, -76.9667121404","{""coordinates"":[[[-77.252318,36.121742],[-77.252444,36.121759],[-77.252966,36.121818],[-77.253507,36.122029],[-77.253859,36.122205],[-77.254334,36.122535],[-77.254621,36.122811],[-77.254757,36.123341]",37,15,1026334,37015,Bertie,Bertie County,6.00,H1,G4020,,,,A,"1,810,858,586","109,088,136",36.0590432,-76.9623641,15
,9,NC,"34.6145873342, -78.5636493115","{""coordinates"":[[[-78.831786,34.611921],[-78.831849,34.612036],[-78.832035,34.612289],[-78.832135,34.612365],[-78.832347,34.612393],[-78.832659,34.612459],[-78.832979,34.612585],[-78.833311,34.612778]",37,17,1026336,37017,Bladen,Bladen County,6,H1,G4020,,,,A,"2,265,887,723","33,010,866",34.5919375,-78.5394885,17
,10,NC,"34.0388755841, -78.2274071617","{""coordinates"":[[[-78.250176,34.222797],[-78.248608,34.225196],[-78.246537,34.228361],[-78.246199,34.228882],[-78.245571,34.229842],[-78.245563,34.229855],[-78.244961,34.230776],[-78.244939,34.230809]",37,19,1026340,37019,Brunswick,Brunswick County,6,H1,G4020,396,34820,,A,"2,199,399,191","518,904,287",34.0387542,-78.2277653,19
