GEOID,Latitude,Longitude
37001020100,+36.0914774,-079.4455986
37001020200,+36.0919103,-079.4195398
37001020301,+36.1065434,-079.4055744
37001020302,+36.0947700,-079.3911836
37001020400,+36.1207861,-079.4322349
37001020501,+36.1220609,-079.4795203
37001020502,+36.1143709,-079.4515972
37001020601,+36.0922417,-079.4903921
37001020602,+36.0958040,-079.4621793
37001020701,+36.0698004,-079.4810886
37001020702,+36.0624647,-079.4583524
37001020801,+36.0490131,-079.4493095
37001020802,+36.0791566,-079.4275785
37001020901,+36.0567365,-079.4179557
37001020902,+36.0292540,-079.4128455
37001021000,+36.0769780,-079.3985062
37001021101,+36.0697173,-079.3749221
37001021102,+36.0377304,-079.3746745
37001021201,+36.1058538,-079.3538343
37001021204,+36.0441127,-079.3189482
37001021205,+36.0716991,-079.2842623
37001021206,+36.0854714,-079.3059217
37001021207,+36.1053504,-079.2949549
37001021300,+36.1804423,-079.3130101
37001021400,+36.2000650,-079.4059533
37001021500,+36.1916726,-079.4828826
37001021600,+36.1447926,-079.5202660
37001021701,+36.0927095,-079.5291655
37001021702,+36.0930886,-079.5083273
37001021703,+36.0544094,-079.5184486
37001021801,+35.9869584,-079.4822243
37001021802,+35.9388738,-079.4437298
37001021803,+35.8777839,-079.4773039
37001021901,+35.9861226,-079.3694459
37001021902,+35.8920580,-079.3325996
37001022001,+35.9970765,-079.3342675
37001022002,+35.9765360,-079.2885164
37003040100,+35.9786489,-081.0654227
37003040200,+35.9824254,-081.2466687
37003040300,+35.8935399,-081.2619487
37003040400,+35.9190953,-081.1748648
37003040500,+35.8648730,-081.0966473
37003040600,+35.8589717,-081.1904395
37003040700,+35.8302549,-081.3009365
37005950100,+36.4788732,-081.0089677
37005950200,+36.5270151,-081.1372473
37005950300,+36.4954342,-081.2321510
37007920100,+34.9873922,-079.9330024
37007920200,+35.0996781,-080.1049893
37007920301,+35.0739512,-080.2378646
37007920302,+34.9495049,-080.2147609
37007920400,+35.0150268,-080.0839315
37007920501,+34.9395656,-080.1461397
37007920502,+34.9419407,-080.0568714
37007920600,+34.8573699,-080.1191723
37007980000,+34.9899785,-080.1826933
37009970200,+36.5290589,-081.5408788
37009970300,+36.4748945,-081.6702586
37009970400,+36.4436205,-081.5603804
37009970501,+36.4017373,-081.4475225
37009970502,+36.4493645,-081.4706194
37009970701,+36.3392756,-081.5619170
37009970702,+36.2998512,-081.4597506
37009970801,+36.3988389,-081.3489861
37009970802,+36.5088535,-081.4012665
37011930100,+36.2037801,-081.9101337
37011930200,+36.0498505,-081.8294281
37011930301,+36.1128045,-081.9404824
37011930302,+36.0958079,-082.0116573
37011930400,+35.9886921,-081.9800090
37013930101,+35.6115021,-076.7137284
37013930102,+35.5444520,-076.5560395
37013930200,+35.6298026,-077.0193014
37013930300,+35.5552788,-077.0650549
37013930400,+35.5657805,-077.0433855
37013930501,+35.5089705,-076.9943090
37013930502,+35.5499701,-076.9678020
37013930600,+35.5119533,-076.8742247
37013930700,+35.4437315,-076.6855762
37013930800,+35.3049988,-076.7560671
37013930900,+35.3892318,-076.9668799
37013931001,+35.4529722,-077.1378598
37013931002,+35.4977535,-077.0822702
37015960100,+36.1259234,-076.8298463
37015960200,+36.1462992,-077.0430465
37015960300,+36.0718625,-077.1618779
37015960401,+36.0366771,-076.9123754
37015960402,+35.9310996,-076.8232424
37017950101,+34.6841923,-078.4207941
37017950102,+34.5990846,-078.4456040
37017950200,+34.7515340,-078.6716465
37017950301,+34.6553887,-078.6992839
37017950302,+34.7407193,-078.8208014
37017950401,+34.6304635,-078.6310860
37017950402,+34.5950373,-078.6243837
37017950501,+34.5679940,-078.7460135
37017950502,+34.5136718,-078.8004390
37017950601,+34.5156670,-078.5884025
37017950602,+34.4457174,-078.4606439
37019020101,+34.3232310,-078.0713780
37019020102,+34.2873137,-078.0930430
37019020105,+34.2268494,-078.0393515
37019020106,+34.2314756,-078.0810595
37019020107,+34.2460650,-078.0258750
37019020108,+34.2525790,-078.0140005
37019020201,+34.2148920,-078.0015426
37019020203,+34.1352149,-078.0798768
37019020204,+34.0267982,-078.0892409
37019020205,+34.1653866,-078.0016326
37019020206,+34.0501547,-077.9817390
37019020304,+33.9437461,-078.1053801
37019020305,+33.9292591,-078.0408608
37019020306,+33.9512242,-077.9921571
37019020307,+33.9225601,-077.9543690
37019020308,+33.9165272,-078.2040968
37019020311,+33.9625184,-078.2277592
37019020312,+33.9614654,-078.1818975
37019020313,+33.9225828,-078.1487651
37019020314,+33.9143122,-078.1379543
37019020315,+33.9137959,-078.0921016
37019020316,+33.9058692,-078.0486559
37019020404,+33.9659625,-078.3045336
37019020405,+33.9729461,-078.2685241
37019020406,+33.9119870,-078.3207687
37019020407,+33.9247774,-078.2771826
37019020408,+33.9506849,-078.3530295
37019020409,+33.9282380,-078.3380220
37019020504,+33.9462819,-078.5834240
37019020505,+33.9916026,-078.5495703
37019020508,+33.9328358,-078.5220125
37019020510,+33.8937359,-078.4776126
37019020511,+33.9128875,-078.4015063
37019020512,+33.8801764,-078.4827167
37019020513,+33.9423020,-078.4261239
37019020514,+33.9462878,-078.3837561
37019020515,+33.9178421,-078.5959278
37019020516,+33.9129080,-078.5696551
37019020517,+33.8860135,-078.5461908
37019020518,+33.9070699,-078.4832570
37019020601,+34.0823293,-078.4165529
37019020602,+34.1644940,-078.2037781
37019020603,+34.0182139,-078.1976448
37019990100,+33.8842865,-078.3800630
37021000100,+35.5948800,-082.5532037
37021000200,+35.5970760,-082.5666758
37021000300,+35.6056351,-082.5724487
37021000400,+35.6147195,-082.5622271
37021000500,+35.6230445,-082.5424249
37021000600,+35.6041522,-082.5470874
37021000700,+35.5904452,-082.5453765
37021000800,+35.5810477,-082.5377897
37021000900,+35.5787019,-082.5582858
37021001000,+35.5754200,-082.5752600
37021001100,+35.5711990,-082.5926798
37021001200,+35.5706972,-082.6099808
37021001300,+35.5806246,-082.6227506
37021001401,+35.6062837,-082.6009376
37021001402,+35.5978109,-082.5843859
37021001500,+35.6306242,-082.5944149
37021001601,+35.6274203,-082.5619283
37021001602,+35.6595008,-082.5631461
37021001700,+35.6458553,-082.5155282
37021001801,+35.6121842,-082.5226018
37021001802,+35.6089990,-082.5004234
37021001900,+35.5767566,-082.5017858
37021002000,+35.5624626,-082.5236113
37021002101,+35.5350563,-082.5556527
37021002102,+35.5419974,-082.5161929
37021002203,+35.4525755,-082.5376833
37021002204,+35.4980287,-082.5432633
37021002205,+35.4703370,-082.4960745
37021002206,+35.5020846,-082.5053243
37021002303,+35.4608866,-082.5727567
37021002304,+35.4527180,-082.6199323
37021002305,+35.5074363,-082.6558325
37021002306,+35.5342985,-082.5963832
37021002401,+35.4853190,-082.7549939
37021002402,+35.4713253,-082.7050248
37021002503,+35.5435554,-082.7196783
37021002504,+35.5676668,-082.7256343
37021002505,+35.5681755,-082.6680939
37021002506,+35.5869732,-082.6512962
37021002603,+35.6461407,-082.7893106
