Pharmacy,Populations,Disability,Insurance,Poverty,Work
BOONE DRUG AND HEALTHCARE,"[['37189920701', '37189920703', '37189920601']]",[0.13472431347243136],[0.9030615903061591],[0.3179986814152809],[0.7757610134240878]
WAL-MART SUPERCENTER - 1558,"[['37157041100', '37157040300']]",[0.19240430021099167],[0.9646337787601729],[0.13552671294898883],[0.7103301384451545]
KERR DRUG,"[['37071030503', '37071030700']]",[0.14626446860750614],[0.9277446509996492],[0.14293230445457733],[0.615817762989506]
OAKBORO PHARMACY,"[['37167930700', '37167930901', '37167930902', '37167930901']]",[0.16829020063972086],[0.890229717941262],[0.0934586247086247],[0.8073469387755102]
CVS - 7325,"[['37171930102', '37171931103', '37171931200', '37171931200']]",[0.1579192753430132],[0.9204076195550819],[0.12346993081426291],[0.7302995511950736]
WALGREENS - 11201,[['37171930901']],[0.18497876857749468],[0.8083864118895966],[0.15498938428874734],[0.8629749393694423]
CVS - 3511,[['37067002200']],[0.09396355353075171],[0.9336560364464692],[0.08134642356241234],[0.8260355029585799]
BI-LO - 219,"[['37109070800', '37109070201']]",[0.15178722683381332],[0.8431306115534474],[0.18734607218683652],[0.7658519305703153]
MEDICAL PARK PHARMACY EAST,[['37031970305']],[0.1270358306188925],[0.9060803474484256],[0.09270334928229665],[0.6581265012009607]
TARGET,"[['37021002000', '37021002000']]",[0.14185843285755897],[0.7854646082143898],[0.14382652308600088],[0.7598442232799654]
RITE AID - 11310,"[['37059080200', '37059080301']]",[0.1339517625231911],[0.972356215213358],[0.015541165587419057],[0.7620811855670103]
RITE AID - 4757,"[['37097061402', '37097061402']]",[0.07149046793760831],[0.9173887926054304],[0.03264009243212016],[0.8633401221995927]
EASTOVER DRUG,"[['37051002600', '37051002701', '37051002702', '37051002702']]",[0.20388298153732212],[0.9091149552981008],[0.13581780538302277],[0.7283438433455028]
SUN VALLEY PHARMACY,"[['37179020307', '37179020308', '37179020321', '37179020307']]",[0.08996751385438563],[0.9228740684120008],[0.06287024651251671],[0.8310085174669793]
MCCARTHY SQUARE PHARMACY,[['37049960402']],[0.12514220705346984],[0.911490329920364],[0.1796434213495825],[0.8217864923747277]
CHARLEYS DRUGS AND SUNDRIES,"[['37071030105', '37071030106', '37071031005', '37071031101', '37071031102']]",[0.12406108130416839],[0.8969872059430458],[0.08768610676976228],[0.8142188748145612]
MEDICAL PARK PHARMACY,"[['37147000602', '37147000604']]",[0.15983781476739223],[0.9173068715322237],[0.18421614694574967],[0.7966937354988399]
CVS - 3504,"[['37067000100', '37067000200', '37067000301', '37067000900', '37067000100']]",[0.11611017624656807],[0.8402267292533877],[0.28088207811623994],[0.639271606127758]
CVS - 2771,"[['37101041003', '37101041004', '37101041005', '37101041004']]",[0.13778667637422642],[0.8323625773571168],[0.05985308787521538],[0.8240531373657434]
KERR HEALTH LONG TERM CARE PHARMACY,"[['37183054020', '37183054020']]",[0.0751733102253033],[0.9436741767764298],[0.028291621327529923],[0.8386789456970467]
RITE AID - 11429,[['37055970102']],[0.0865174672489083],[0.9295851528384279],[0.03657205240174673],[0.8904481665912177]
CVS - 4435,"[['37093970106', '37051003313']]",[0.13697986051249902],[0.9246140584593684],[0.07538738738738739],[0.69534127843987]
COURT HOUSE BAY PHARMACY-DOD,[['37133000800']],[0.13973268529769137],[0.9416767922235723],[0.23630672926447574],[0.7397959183673469]
