Pharmacy,Populations,Insurance,Poverty,Work,Average,County,Target,Result
BOONE DRUG AND HEALTHCARE,"[['37189920701', '37189920703', '37189920601']]",0.13472431347243136,0.9030615903061591,0.3179986814152809,0.45192819506462373,Watauga,0.6598615554363839,True
WAL-MART SUPERCENTER - 1558,"[['37157041100', '37157040300']]",0.19240430021099167,0.9646337787601729,0.13552671294898883,0.4308549306400511,Rockingham,0.6298912027105816,True
KERR DRUG,"[['37071030503', '37071030700']]",0.14626446860750614,0.9277446509996492,0.14293230445457733,0.4056471413539109,Gaston,0.615712135351936,True
OAKBORO PHARMACY,"[['37167930700', '37167930901', '37167930902', '37167930901']]",0.16829020063972086,0.890229717941262,0.0934586247086247,0.38399284776320247,Stanly,0.6010544721203147,True
CVS - 7325,"[['37171930102', '37171931103', '37171931200', '37171931200']]",0.1579192753430132,0.9204076195550819,0.12346993081426291,0.4005989419041193,Surry,0.6140156870430253,True
WALGREENS - 11201,[['37171930901']],0.18497876857749468,0.8083864118895966,0.15498938428874734,0.38278485491861286,Surry,0.6140156870430253,True
CVS - 3511,[['37067002200']],0.09396355353075171,0.9336560364464692,0.08134642356241234,0.3696553378465444,Forsyth,0.6221954212353153,False
BI-LO - 219,"[['37109070800', '37109070201']]",0.15178722683381332,0.8431306115534474,0.18734607218683652,0.39408797019136577,Lincoln,0.6080074705264387,True
MEDICAL PARK PHARMACY EAST,[['37031970305']],0.1270358306188925,0.9060803474484256,0.09270334928229665,0.3752731757832049,Carteret,0.5911289689548256,True
TARGET,"[['37021002000', '37021002000']]",0.14185843285755897,0.7854646082143898,0.14382652308600088,0.35704985471931655,Buncombe,0.6032988614670457,False
RITE AID - 11310,"[['37059080200', '37059080301']]",0.1339517625231911,0.972356215213358,0.015541165587419057,0.3739497144413228,Davie,0.6075735138565691,True
RITE AID - 4757,"[['37097061402', '37097061402']]",0.07149046793760831,0.9173887926054304,0.03264009243212016,0.34050645099171956,Iredell,0.6076536297665317,False
EASTOVER DRUG,"[['37051002600', '37051002701', '37051002702', '37051002702']]",0.20388298153732212,0.9091149552981008,0.13581780538302277,0.4162719140728153,Cumberland,0.6040513776722567,True
SUN VALLEY PHARMACY,"[['37179020307', '37179020308', '37179020321', '37179020307']]",0.08996751385438563,0.9228740684120008,0.06287024651251671,0.35857060959296777,Union,0.6020998533440247,False
MCCARTHY SQUARE PHARMACY,[['37049960402']],0.12514220705346984,0.911490329920364,0.1796434213495825,0.4054253194411388,Craven,0.5961474614992683,True
CHARLEYS DRUGS AND SUNDRIES,"[['37071030105', '37071030106', '37071031005', '37071031101', '37071031102']]",0.12406108130416839,0.8969872059430458,0.08768610676976228,0.36957813133899214,Gaston,0.615712135351936,True
MEDICAL PARK PHARMACY,"[['37147000602', '37147000604']]",0.15983781476739223,0.9173068715322237,0.18421614694574967,0.4204536110817885,Pitt,0.645969128565846,True
CVS - 3504,"[['37067000100', '37067000200', '37067000301', '37067000900', '37067000100']]",0.11611017624656807,0.8402267292533877,0.28088207811623994,0.41240632787206527,Forsyth,0.6221954212353153,True
CVS - 2771,"[['37101041003', '37101041004', '37101041005', '37101041004']]",0.13778667637422642,0.8323625773571168,0.05985308787521538,0.3433341138688529,Johnston,0.608306517761373,False
KERR HEALTH LONG TERM CARE PHARMACY,"[['37183054020', '37183054020']]",0.0751733102253033,0.9436741767764298,0.028291621327529923,0.3490463694430877,Wake,0.6112400554835205,False
RITE AID - 11429,[['37055970102']],0.0865174672489083,0.9295851528384279,0.03657205240174673,0.350891557496361,Dare,0.5847359151733029,True
CVS - 4435,"[['37093970106', '37051003313']]",0.13697986051249902,0.9246140584593684,0.07538738738738739,0.3789937687864183,Hoke,0.6058259374980034,True
COURT HOUSE BAY PHARMACY-DOD,[['37133000800']],0.13973268529769137,0.9416767922235723,0.23630672926447574,0.4392387355952465,Onslow,0.560977263219856,True
HADNOT POINT BRANCH MEDICAL CLINIC PHARMACY-DOD,"[['37133000800', '37133002300', '37133002400', '37133000800']]",0.1738644825018615,0.9213700670141475,0.16586224889120793,0.4203655994690723,Onslow,0.560977263219856,True
WAL-MART SUPERCENTER - 1348,"[['37129011800', '37129012008', '37129012103', '37129012110', '37129012111', '37129012008']]",0.13637470009388367,0.9282659341423555,0.07604986419667108,0.38023016614430344,New Hanover,0.6183353687872396,True
ONEALS DRUG STORE OF NEWPORT,"[['37031970601', '37031970602', '37031970701', '37031970702', '37031970703', '37031970703']]",0.21888059190244571,0.8886757552921833,0.09219713917700495,0.39991782879054466,Carteret,0.5911289689548256,True
WAL-MART SUPERCENTER - 3503,"[['37057061102', '37151030504', '37151031501', '37057061102']]",0.17067187570980785,0.8971062553945396,0.19114505204782037,0.41964106105072263,Davidson,0.613972849529569,True
SAM'S CLUB - 6348,"[['37119005826', '37119005867', '37119005826']]",0.13813813813813813,0.8328673501087294,0.057042107446587845,0.34268253189781844,Mecklenburg,0.6095541200719841,False
MARSHVILLE PHARMACY,"[['37179020901', '37179020800']]",0.11765785609397944,0.8796806167400881,0.10308231819859727,0.3668069303442216,Union,0.6020998533440247,True
LIBERTY DRUG STORE,"[['37001021803', '37081017000', '37151031200']]",0.15898094950105837,0.8694436044753553,0.13204837490551777,0.38682430962731046,Alamance,0.6189910453054347,True
HICKS PHARMACY,"[['37169070101', '37169070600', '37169070702', '37169070701']]",0.1937293254710197,0.8971666906371351,0.1796686856892651,0.4235215672658066,Stokes,0.6173559403127896,True
CHEROKEE INDIAN HOSPITAL,"[['37099940200', '37173940100', '37173940100']]",0.18964235007775,0.6620918125887364,0.24747645823453696,0.3664035403003411,Jackson,0.6157628209602244,False
SAM'S CLUB - 4798,"[['37067002901', '37067002806']]",0.14052024671493699,0.881871815500134,0.21037811745776347,0.4109233932242782,Forsyth,0.6221954212353153,True
PIEDMONT PLAZA OUTPATIENT PHARMACY,"[['37067001200', '37067001100']]",0.0949616902716508,0.9428836777339216,0.15880027900488258,0.3988818823368183,Forsyth,0.6221954212353153,True
HARRIS TEETER - 45,"[['37119005817', '37119005817']]",0.08228857989514475,0.9892865283793025,0.06788571428571429,0.37982027418672054,Mecklenburg,0.6095541200719841,True
SAM'S CLUB - 4945,"[['37155960701', '37155960702', '37155960900']]",0.10610506389020351,0.8548035967818268,0.22366672992977796,0.39485846353393605,Robeson,0.6425942755842783,True
RITE AID - 11393,"[['37183050800', '37183052002', '37183052101', '37183052102', '37183052816', '37183052101']]",0.13146126364703825,0.8531990906138357,0.1777621816723481,0.38747417864440736,Wake,0.6112400554835205,True
WAL-MART SUPERCENTER - 4273,"[['37019020205', '37019020201']]",0.10184507248499049,0.9317616049201933,0.10308750365817969,0.3788980603544545,Brunswick,0.5945979614666878,True
CLEVELAND DRUG COMPANY,"[['37159051901', '37159051903', '37159051904', '37159051901']]",0.12400392301091087,0.8318009071962731,0.11438592173270982,0.3567302506466313,Rowan,0.6175117525471473,False
WALGREENS - 6688,[['37097061403']],0.11811577220529647,0.9784391844387157,0.07197513151602104,0.3895100293866778,Iredell,0.6076536297665317,True
CVS - 1218,"[['37067003106', '37067003105']]",0.12747283365840067,0.9062412928392309,0.1105619881389438,0.38142537154552514,Forsyth,0.6221954212353153,True
CVS - 7548,[['37183053105']],0.12105263157894737,0.8929824561403509,0.058771929824561406,0.3576023391812866,Wake,0.6112400554835205,False
WAL-MART SUPERCENTER - 2929,"[['37051001605', '37051003102', '37051003103', '37155960203', '37051001605']]",0.15724493487698987,0.8918686685962374,0.1561570889727091,0.40175689748197874,Cumberland,0.6040513776722567,True
SUPERTARGET,"[['37119005508', '37119006112', '37119006113', '37119006114', '37119006115', '37119006113']]",0.048461818749674666,0.922804643173182,0.05955606502709462,0.3436075089833171,Mecklenburg,0.6095541200719841,False
HARRIS TEETER - 66,"[['37119005840', '37119005859']]",0.06806615776081425,0.9804919423240034,0.029686174724342665,0.3594147582697201,Mecklenburg,0.6095541200719841,False
YADKIN VALLEY PHARMACY,"[['37197050502', '37197050504', '37197050504']]",0.14968652037617555,0.872257053291536,0.1587508698677801,0.3935648145118306,Yadkin,0.6112156567557393,True
FALLSTON PHARMACY,"[['37045950101', '37045950200', '37045950200']]",0.13964697895451458,0.8556687033265444,0.17481612639607735,0.39004393622571215,Cleveland,0.6276466662622097,True
WALGREENS - 12562,"[['37067002903', '37067002904', '37067003002', '37067003105']]",0.1310567936736161,0.8931703810208483,0.15599855019934758,0.39340857496460396,Forsyth,0.6221954212353153,True
CVS - 8417,[['37183053611']],0.08196034627199106,0.9582518849483385,0.015917341524713767,0.3520431909150144,Wake,0.6112400554835205,False
CVS - 3120,[['37023020901']],0.2840150855816652,0.8587177255584566,0.08486102897693672,0.40919794670568616,Burke,0.62122229939238,True
CVS - 7547,"[['37123960202', '37123960301', '37123960302', '37123960202']]",0.20881981697696433,0.8774850110444935,0.12951451727122512,0.405273115097561,Montgomery,0.60217836313777,True
ISLAND PHARMACY,"[['37055970501', '37055970601', '37055970601']]",0.1343833780160858,0.8652144772117962,0.09177640419242139,0.3637914198067678,Dare,0.5847359151733029,True
MEDICAP PHARMACY,"[['37149920301', '37149920301']]",0.22606120434353405,0.7976307996051333,0.10266535044422508,0.3754524514642974,Polk,0.5920259619842373,True
CVS - 4490,"[['37071031301', '37071032100']]",0.14646320593268683,0.8877638334284085,0.11417995444191344,0.3828023312676696,Gaston,0.615712135351936,True
CVS - 7021,"[['37191001200', '37191001900']]",0.14545208079164973,0.9056527043513624,0.28941742383752006,0.446840736326844,Wayne,0.615952372860234,True
RITE AID - 11406,[['37063002023']],0.07596253902185224,0.9441553936871314,0.06520985084980922,0.36177592785293095,Durham,0.6141125194963134,False
MEDICAL VILLAGE PHARMACY INCORPORATED,"[['37035010204', '37035010204']]",0.12342671538773853,0.8402354851806739,0.1464060272856852,0.37002274261803253,Catawba,0.607559909583031,True
WAL-MART SUPERCENTER - 2005,"[['37025040703', '37025040703']]",0.29349067377236393,0.8983631518842786,0.21791862284820032,0.4699241495016144,Cabarrus,0.6096473779385173,True
CVS - 7049,"[['37081016600', '37151031504']]",0.14401519949335023,0.8982900569981,0.061712846347607056,0.3680060342796858,Guilford,0.6247971407630547,False
RITE AID - 11344,[['37057061000']],0.15229166666666666,0.8191666666666667,0.1362098138747885,0.3692227157360406,Davidson,0.613972849529569,True
TOWNSEND'S PHARMACY,"[['37093970401', '37155960301']]",0.23339160839160839,0.8307109557109557,0.33460354682690896,0.4662353703098243,Hoke,0.6058259374980034,True
