Pharmacy,Populations,Percent
BOONE DRUG AND HEALTHCARE,"[['37189920701', '37189920703', '37189920601']]",[0.13472431347243136]
WAL-MART SUPERCENTER - 1558,"[['37157041100', '37157040300']]",[0.19240430021099167]
KERR DRUG,"[['37071030503', '37071030700']]",[0.14626446860750614]
OAKBORO PHARMACY,"[['37167930700', '37167930901', '37167930902', '37167930901']]",[0.16829020063972086]
CVS - 7325,"[['37171930102', '37171931103', '37171931200', '37171931200']]",[0.1579192753430132]
WALGREENS - 11201,[['37171930901']],[0.18497876857749468]
CVS - 3511,[['37067002200']],[0.09396355353075171]
BI-LO - 219,"[['37109070800', '37109070201']]",[0.15178722683381332]
MEDICAL PARK PHARMACY EAST,[['37031970305']],[0.1270358306188925]
TARGET,"[['37021002000', '37021002000']]",[0.14185843285755897]
RITE AID - 11310,"[['37059080200', '37059080301']]",[0.1339517625231911]
RITE AID - 4757,"[['37097061402', '37097061402']]",[0.07149046793760831]
EASTOVER DRUG,"[['37051002600', '37051002701', '37051002702', '37051002702']]",[0.20388298153732212]
SUN VALLEY PHARMACY,"[['37179020307', '37179020308', '37179020321', '37179020307']]",[0.08996751385438563]
MCCARTHY SQUARE PHARMACY,[['37049960402']],[0.12514220705346984]
CHARLEYS DRUGS AND SUNDRIES,"[['37071030105', '37071030106', '37071031005', '37071031101', '37071031102']]",[0.12406108130416839]
MEDICAL PARK PHARMACY,"[['37147000602', '37147000604']]",[0.15983781476739223]
CVS - 3504,"[['37067000100', '37067000200', '37067000301', '37067000900', '37067000100']]",[0.11611017624656807]
CVS - 2771,"[['37101041003', '37101041004', '37101041005', '37101041004']]",[0.13778667637422642]
KERR HEALTH LONG TERM CARE PHARMACY,"[['37183054020', '37183054020']]",[0.0751733102253033]
RITE AID - 11429,[['37055970102']],[0.0865174672489083]
CVS - 4435,"[['37093970106', '37051003313']]",[0.13697986051249902]
COURT HOUSE BAY PHARMACY-DOD,[['37133000800']],[0.13973268529769137]
HADNOT POINT BRANCH MEDICAL CLINIC PHARMACY-DOD,"[['37133000800', '37133002300', '37133002400', '37133000800']]",[0.1738644825018615]
WAL-MART SUPERCENTER - 1348,"[['37129011800', '37129012008', '37129012103', '37129012110', '37129012111', '37129012008']]",[0.13637470009388367]
ONEALS DRUG STORE OF NEWPORT,"[['37031970601', '37031970602', '37031970701', '37031970702', '37031970703', '37031970703']]",[0.21888059190244571]
WAL-MART SUPERCENTER - 3503,"[['37057061102', '37151030504', '37151031501', '37057061102']]",[0.17067187570980785]
SAM'S CLUB - 6348,"[['37119005826', '37119005867', '37119005826']]",[0.13813813813813813]
MARSHVILLE PHARMACY,"[['37179020901', '37179020800']]",[0.11765785609397944]
LIBERTY DRUG STORE,"[['37001021803', '37081017000', '37151031200']]",[0.15898094950105837]
HICKS PHARMACY,"[['37169070101', '37169070600', '37169070702', '37169070701']]",[0.1937293254710197]
CHEROKEE INDIAN HOSPITAL,"[['37099940200', '37173940100', '37173940100']]",[0.18964235007775]
SAM'S CLUB - 4798,"[['37067002901', '37067002806']]",[0.14052024671493699]
PIEDMONT PLAZA OUTPATIENT PHARMACY,"[['37067001200', '37067001100']]",[0.0949616902716508]
HARRIS TEETER - 45,"[['37119005817', '37119005817']]",[0.08228857989514475]
SAM'S CLUB - 4945,"[['37155960701', '37155960702', '37155960900']]",[0.10610506389020351]
RITE AID - 11393,"[['37183050800', '37183052002', '37183052101', '37183052102', '37183052816', '37183052101']]",[0.13146126364703825]
WAL-MART SUPERCENTER - 4273,"[['37019020205', '37019020201']]",[0.10184507248499049]
CLEVELAND DRUG COMPANY,"[['37159051901', '37159051903', '37159051904', '37159051901']]",[0.12400392301091087]
WALGREENS - 6688,[['37097061403']],[0.11811577220529647]
CVS - 1218,"[['37067003106', '37067003105']]",[0.12747283365840067]
CVS - 7548,[['37183053105']],[0.12105263157894737]
WAL-MART SUPERCENTER - 2929,"[['37051001605', '37051003102', '37051003103', '37155960203', '37051001605']]",[0.15724493487698987]
SUPERTARGET,"[['37119005508', '37119006112', '37119006113', '37119006114', '37119006115', '37119006113']]",[0.048461818749674666]
HARRIS TEETER - 66,"[['37119005840', '37119005859']]",[0.06806615776081425]
YADKIN VALLEY PHARMACY,"[['37197050502', '37197050504', '37197050504']]",[0.14968652037617555]
FALLSTON PHARMACY,"[['37045950101', '37045950200', '37045950200']]",[0.13964697895451458]
WALGREENS - 12562,"[['37067002903', '37067002904', '37067003002', '37067003105']]",[0.1310567936736161]
CVS - 8417,[['37183053611']],[0.08196034627199106]
CVS - 3120,[['37023020901']],[0.2840150855816652]
CVS - 7547,"[['37123960202', '37123960301', '37123960302', '37123960202']]",[0.20881981697696433]
ISLAND PHARMACY,"[['37055970501', '37055970601', '37055970601']]",[0.1343833780160858]
MEDICAP PHARMACY,"[['37149920301', '37149920301']]",[0.22606120434353405]
CVS - 4490,"[['37071031301', '37071032100']]",[0.14646320593268683]
CVS - 7021,"[['37191001200', '37191001900']]",[0.14545208079164973]
RITE AID - 11406,[['37063002023']],[0.07596253902185224]
MEDICAL VILLAGE PHARMACY INCORPORATED,"[['37035010204', '37035010204']]",[0.12342671538773853]
WAL-MART SUPERCENTER - 2005,"[['37025040703', '37025040703']]",[0.29349067377236393]
CVS - 7049,"[['37081016600', '37151031504']]",[0.14401519949335023]
RITE AID - 11344,[['37057061000']],[0.15229166666666666]
TOWNSEND'S PHARMACY,"[['37093970401', '37155960301']]",[0.23339160839160839]
BOULEVARD PHARMACY INCORPORATED,"[['37157040400', '37157040501', '37157040502', '37157040400']]",[0.18110524389606317]
THE HAWTHORNE PHARMACY,[['37067002100']],[0.07256554307116105]
CVS - 4988,"[['37127010900', '37127011103']]",[0.17001588933545192]
WALGREENS - 4548,"[['37119001916', '37119001910']]",[0.07337589946285598]
WALGREENS - 12045,[['37001020701']],[0.1394222142472636]
HARRIS TEETER - 174,"[['37119005710', '37119005716', '37119005722', '37119005723', '37119005716']]",[0.07877554882664647]
KMART,[['37183052802']],[0.14215308794085937]
GREER PHARMACY,"[['37027031100', '37027030100']]",[0.1602537863282849]
FRANKLIN STREET PHARMACY,[['37179020406']],[0.09857670005271481]
CVS - 5557,"[['37129011611', '37129011611']]",[0.07713600295257428]
CVS - 3833,"[['37135010705', '37135010708', '37135012202', '37135010708']]",[0.08985871271585558]
FOSCOE PHARMACY,"[['37189920900', '37189920900']]",[0.15400134498991258]
FALLS RIVER PHARMACY,"[['37183054019', '37183054021', '37183054019']]",[0.04802843680251302]
WALGREENS - 7169,"[['37183053604', '37183053425']]",[0.04130146082337317]
WALGREENS - 11893,"[['37061090506', '37061090506']]",[0.2558459422283356]
RITE AID - 11500,"[['37119005860', '37119005860']]",[0.0]
CVS - 7157,"[['37119005836', '37119005854', '37119005854']]",[0.04596162427487729]
ADVANCED HOME CARE,"[['37081016204', '37081016406', '37081016406']]",[0.07849102525098875]
CVS - 4095,"[['37051000900', '37051001000', '37051002100', '37051002402', '37051002100']]",[0.1716268600725272]
CVS - 3524,[['37097060500']],[0.16690160699182408]
CVS - 4056,"[['37183050100', '37183050700', '37183050900', '37183050100']]",[0.09316947699342669]
WAL-MART - 1579,"[['37077970300', '37077970500', '37077970400']]",[0.1428336620644313]
FOOD LION - 420,[['37063001711']],[0.1202990484821024]
KROGER,"[['37183051800', '37183052603', '37183051800']]",[0.03918415088822282]
THOMAS DRUGS,[['37019020514']],[0.16631652661064425]
RITE AID - 11510,[['37085070100']],[0.21389089161259311]
RITE AID - 11540,"[['37147001200', '37147001302', '37147001304', '37147001403', '37147001302']]",[0.15530604549834515]
WAL-MART SUPERCENTER - 1191,"[['37135010902', '37135011106', '37135010902']]",[0.09450449867305327]
RITE AID - 11551,[['37023020600']],[0.1459993072393488]
CVS - 7688,[['37119003902']],[0.13167041504804744]
WALGREENS - 7317,"[['37063002020', '37063002021', '37063002023', '37063002023']]",[0.05045687318003816]
SEASHORE DISCOUNT DRUGS,"[['37129010900', '37129011000', '37129010900']]",[0.14383137011779293]
WAL-MART SUPERCENTER - 1298,[['37133001303']],[0.2193664076509265]
SANDHILLS PHARMACY,"[['37153970300', '37153970500', '37153970500']]",[0.17353334018288297]
RITE AID - 11413,[['37127010604']],[0.17611640742599097]
BI-LO - 700,"[['37179021019', '37119005849']]",[0.07318573185731857]
PITT COUNTY MEMORIAL HOSPITAL PHARMACY,[['37147000701']],[0.15867158671586715]
RUTHERFORD EAST PHARMACY,"[['37161961002', '37161961104']]",[0.19656301145662847]
CVS - 7047,"[['37063001706', '37063001713', '37063001504']]",[0.08388188828286627]
RITE AID - 11402,"[['37063001802', '37063001808', '37063001810', '37063001811', '37063001811']]",[0.08734573266122023]
RITE AID - 11526,"[['37129010800', '37129010700']]",[0.21508089654148732]
WALGREENS - 4870,[['37025041901']],[0.1631156129933636]
RITE AID - 11464,"[['37045950701', '37045950702', '37045951000', '37045951000']]",[0.16818271055559192]
WAL-MART SUPERCENTER - 515,"[['37039930402', '37039930402']]",[0.2471264367816092]
BI-LO - 413,"[['37119006008', '37119006013', '37119006014', '37119006014']]",[0.09650446372438073]
THOMPSON PHARMACY,"[['37127010400', '37127010400']]",[0.1658291457286432]
RITE AID - 11543,[['37035011101']],[0.1564525633470831]
RITE AID - 11377,[['37191001302']],[0.16189697465249386]
RITE AID - 11914,[['37183053408']],[0.03736920777279522]
MISSION HOSPITAL - MEMORIAL CAMPUS,[['37021000900']],[0.20217620217620216]
WALGREENS - 7622,[['37191001302']],[0.16189697465249386]
RITE AID - 11521,[['37129012006']],[0.15706934574859102]
WAL-MART SUPERCENTER - 1300,[['37049960402']],[0.12514220705346984]
RITE AID - 11539,"[['37049960401', '37049960404', '37049960402']]",[0.16410436616006324]
RITE AID - 11314,"[['37067004007', '37067004009', '37197050101', '37067004009']]",[0.10639877702555144]
WAL-MART SUPERCENTER - 5346,[['37001021205']],[0.09899961023775497]
CVS - 7345,"[['37129012201', '37129012202', '37129012203', '37129012201']]",[0.10515130907854471]
WALGREENS - 9930,[['37089931200']],[0.1861777150916784]
RITE AID - 11524,"[['37129011608', '37129011609', '37129011609']]",[0.12141512567821947]
RITE AID - 11520,[['37129010501']],[0.06798245614035088]
WALGREENS - 4549,"[['37119005718', '37119005710']]",[0.12923038355477565]
RITE AID - 11554,[['37193960600']],[0.21980495123780946]
HOLLADAY HEALTHCARE PHARMACY,"[['37067003806', '37067003804']]",[0.12573575453976205]
WALGREENS - 9988,"[['37013930501', '37013930502', '37013930600', '37013930400']]",[0.18273053111762788]
RITE AID - 11455,"[['37179020406', '37179020406']]",[0.09857670005271481]
BLUE RIDGE HOME CARE,[['37121950300']],[0.17084942084942084]
WAL-MART SUPERCENTER - 2730,[['37065021000']],[0.1471861471861472]
HARRIS TEETER - 112,"[['37183053520', '37183053520']]",[0.10241674034777483]
WAL-MART SUPERCENTER - 1127,"[['37007920200', '37007920302', '37007920400', '37007920501', '37007980000', '37007920400']]",[0.14591326589931403]
WALGREENS - 11837,"[['37019020308', '37019020311', '37019020312', '37019020404', '37019020405', '37019020406', '37019020407', '37019020407']]",[0.16646856056103648]
RITE AID - 11332,"[['37001020902', '37001021102', '37001021802', '37001021901', '37001020901']]",[0.15171827322295034]
RITE AID - 11327,"[['37151030201', '37151030201']]",[0.20253968253968255]
RITE AID - 11515,"[['37125950601', '37125950603', '37125950704']]",[0.1560711057547454]
WILSON COMMUNITY HEALTH CENTER,[['37195000100']],[0.17457142857142857]
FORT BRAGG - WOMACK ARMY MEDICAL CENTER - JOEL CLINIC-DOD,"[['37051003408', '37051980200', '37051003408']]",[0.05806887238352464]
COSTCO,"[['37081012607', '37081012607']]",[0.12709284627092846]
HARRIS TEETER - 127,"[['37067002601', '37067002601']]",[0.09666080843585237]
BIDDLEVILLE PHARMACY,"[['37119004400', '37119005100', '37119004600']]",[0.10876623376623376]
WOMACK ARMY MEDICAL CENTER - ROBINSON CLINIC-DOD,"[['37051003403', '37051980100', '37085071402', '37125950505', '37051003403']]",[0.11315248391589838]
WINYAH PHARMACY OF THE PIEDMONT,"[['37119005916', '37119980200', '37119005916']]",[0.14750882699097687]
DEEP RIVER DRUG,"[['37081016305', '37081016306', '37081016305']]",[0.08606493708249184]
CVS - 5500,"[['37081016103', '37081016102']]",[0.11621358171775155]
RITE AID - 11506,"[['37051003304', '37051003315', '37051003317', '37051003317']]",[0.16449988287655187]
HEALTH PAVILION NORTH PHARMACY,"[['37051002504', '37051002506', '37051003700', '37085071201', '37051002506']]",[0.14735361350448392]
BREVARD DRUG COMPANY,[['37175960301']],[0.1408955223880597]
CREEDMOOR DRUG COMPANY,"[['37077970604', '37077970607', '37077970606']]",[0.12997081357168916]
RITE AID - 11419,[['37147000504']],[0.10455588331694526]
CVS - 4135,[['37081012607']],[0.12709284627092846]
HOSPITAL PHARMACY INCORPORATED,"[['37085070100', '37085070300', '37163970303', '37163970304', '37085070100']]",[0.17562724014336917]
