GEOID,B23022_001E,B23022_002E,B23022_003E,B23022_004E,B23022_005E,B23022_006E,B23022_007E,B23022_008E,B23022_009E,B23022_010E,B23022_011E,B23022_012E,B23022_013E,B23022_014E,B23022_015E,B23022_016E,B23022_017E,B23022_018E,B23022_019E,B23022_020E,B23022_021E,B23022_022E,B23022_023E,B23022_024E,B23022_025E,B23022_026E,B23022_027E,B23022_028E,B23022_029E,B23022_030E,B23022_031E,B23022_032E,B23022_033E,B23022_034E,B23022_035E,B23022_036E,B23022_037E,B23022_038E,B23022_039E,B23022_040E,B23022_041E,B23022_042E,B23022_043E,B23022_044E,B23022_045E,B23022_046E,B23022_047E,B23022_048E,B23022_049E
37001020100,2761.0,1355.0,1006.0,854.0,748.0,9.0,42.0,11.0,0.0,44.0,129.0,94.0,0.0,0.0,0.0,0.0,35.0,23.0,8.0,0.0,0.0,0.0,6.0,9.0,349.0,1406.0,981.0,735.0,555.0,40.0,9.0,49.0,0.0,82.0,212.0,181.0,0.0,7.0,0.0,24.0,0.0,34.0,0.0,0.0,0.0,26.0,0.0,8.0,425.0
37001020200,2810.0,1346.0,666.0,530.0,421.0,0.0,65.0,0.0,25.0,19.0,96.0,56.0,0.0,0.0,0.0,21.0,19.0,40.0,22.0,0.0,18.0,0.0,0.0,0.0,680.0,1464.0,991.0,773.0,658.0,21.0,48.0,0.0,25.0,21.0,184.0,76.0,0.0,0.0,38.0,46.0,24.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,473.0
37001020301,2163.0,1042.0,685.0,564.0,538.0,0.0,26.0,0.0,0.0,0.0,54.0,9.0,0.0,0.0,0.0,45.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,357.0,1121.0,730.0,650.0,607.0,18.0,0.0,25.0,0.0,0.0,80.0,65.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0
37001020302,2046.0,966.0,800.0,786.0,558.0,71.0,35.0,69.0,48.0,5.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,1080.0,648.0,533.0,533.0,0.0,0.0,0.0,0.0,0.0,101.0,68.0,0.0,0.0,0.0,0.0,33.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,432.0
37001020400,3799.0,1732.0,1148.0,821.0,675.0,0.0,12.0,29.0,105.0,0.0,311.0,269.0,0.0,0.0,19.0,13.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,584.0,2067.0,1618.0,1265.0,1120.0,75.0,13.0,48.0,0.0,9.0,253.0,67.0,0.0,36.0,58.0,0.0,92.0,100.0,18.0,26.0,8.0,48.0,0.0,0.0,449.0
37001020501,2616.0,1505.0,1141.0,1011.0,821.0,98.0,0.0,8.0,36.0,48.0,89.0,36.0,0.0,33.0,0.0,8.0,12.0,41.0,0.0,0.0,0.0,0.0,0.0,41.0,364.0,1111.0,971.0,588.0,467.0,0.0,44.0,0.0,0.0,77.0,318.0,131.0,16.0,17.0,6.0,80.0,68.0,65.0,9.0,0.0,0.0,0.0,47.0,9.0,140.0
37001020502,2632.0,1297.0,1094.0,1024.0,926.0,25.0,22.0,19.0,0.0,32.0,39.0,6.0,0.0,0.0,22.0,0.0,11.0,31.0,20.0,0.0,0.0,0.0,11.0,0.0,203.0,1335.0,981.0,752.0,516.0,0.0,18.0,99.0,65.0,54.0,198.0,143.0,0.0,0.0,14.0,2.0,39.0,31.0,13.0,0.0,0.0,0.0,0.0,18.0,354.0
37001020601,1730.0,843.0,708.0,656.0,648.0,0.0,8.0,0.0,0.0,0.0,27.0,0.0,10.0,0.0,0.0,0.0,17.0,25.0,0.0,0.0,0.0,4.0,8.0,13.0,135.0,887.0,774.0,548.0,490.0,23.0,35.0,0.0,0.0,0.0,169.0,115.0,0.0,40.0,5.0,0.0,9.0,57.0,16.0,0.0,18.0,11.0,0.0,12.0,113.0
37001020602,1248.0,620.0,454.0,383.0,369.0,0.0,14.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0,166.0,628.0,529.0,446.0,382.0,0.0,39.0,25.0,0.0,0.0,69.0,48.0,0.0,0.0,9.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,99.0
37001020701,3625.0,1570.0,1184.0,914.0,855.0,16.0,0.0,0.0,2.0,41.0,176.0,14.0,0.0,31.0,42.0,68.0,21.0,94.0,0.0,0.0,43.0,0.0,33.0,18.0,386.0,2055.0,1673.0,1088.0,922.0,39.0,86.0,9.0,0.0,32.0,475.0,322.0,29.0,11.0,37.0,76.0,0.0,110.0,19.0,0.0,0.0,0.0,91.0,0.0,382.0
